occupation_id,n_revealed,strategy,digits,method,prior,p@5,p@10,mrr
140,5,core_first,2,mf_latent,0.05432098765432099,0.6,0.4,1.0
140,5,core_first,2,mf_impute,0.05432098765432099,0.0,0.1,0.1111111111111111
143,5,core_first,1,random,0.1259259259259259,0.0,0.0,0.08333333333333333
143,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
143,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.0,0.07692307692307693
143,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
143,5,core_first,1,mf_latent,0.1259259259259259,0.2,0.2,0.2
143,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.0,0.07692307692307693
143,5,core_first,2,random,0.05432098765432099,0.0,0.0,0.02857142857142857
143,5,core_first,2,popular_group,0.05432098765432099,0.0,0.0,0.01
143,5,core_first,2,raw_distance,0.05432098765432099,0.0,0.0,0.07692307692307693
143,5,core_first,2,raw_correlation,0.05432098765432099,0.0,0.0,0.010309278350515464
143,5,core_first,2,mf_latent,0.05432098765432099,0.2,0.2,0.2
143,5,core_first,2,mf_impute,0.05432098765432099,0.0,0.0,0.05263157894736842
152,5,core_first,1,random,0.1259259259259259,0.0,0.0,0.09090909090909091
152,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
152,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.0,0.07692307692307693
152,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
152,5,core_first,1,mf_latent,0.1259259259259259,0.2,0.2,0.2
152,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.0,0.07692307692307693
152,5,core_first,2,random,0.05432098765432099,0.0,0.0,0.09090909090909091
152,5,core_first,2,popular_group,0.05432098765432099,0.0,0.0,0.01
152,5,core_first,2,raw_distance,0.05432098765432099,0.0,0.0,0.07692307692307693
152,5,core_first,2,raw_correlation,0.05432098765432099,0.0,0.0,0.010309278350515464
152,5,core_first,2,mf_latent,0.05432098765432099,0.2,0.2,0.2
152,5,core_first,2,mf_impute,0.05432098765432099,0.0,0.0,0.05263157894736842
165,5,core_first,1,random,0.1259259259259259,0.4,0.3,0.25
165,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
165,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.4,0.16666666666666666
165,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.047619047619047616
165,5,core_first,1,mf_latent,0.1259259259259259,0.6,0.4,1.0
165,5,core_first,1,mf_impute,0.1259259259259259,0.4,0.3,1.0
165,5,core_first,2,random,0.06666666666666667,0.4,0.3,0.25
165,5,core_first,2,popular_group,0.06666666666666667,0.0,0.0,0.007575757575757576
165,5,core_first,2,raw_distance,0.06666666666666667,0.0,0.1,0.1
165,5,core_first,2,raw_correlation,0.06666666666666667,0.0,0.0,0.047619047619047616
165,5,core_first,2,mf_latent,0.06666666666666667,0.4,0.2,0.5
165,5,core_first,2,mf_impute,0.06666666666666667,0.2,0.2,0.3333333333333333
167,5,core_first,1,random,0.1259259259259259,0.2,0.2,0.5
167,5,core_first,1,popular_group,0.1259259259259259,0.0,0.0,0.00641025641025641
167,5,core_first,1,raw_distance,0.1259259259259259,0.0,0.0,0.038461538461538464
167,5,core_first,1,raw_correlation,0.1259259259259259,0.0,0.0,0.010752688172043012
167,5,core_first,1,mf_latent,0.1259259259259259,0.0,0.0,0.024390243902439025
167,5,core_first,1,mf_impute,0.1259259259259259,0.0,0.0,0.008771929824561403
167,5,core_first,2,random,0.06666666666666667,0.0,0.0,0.043478260869565216
